category;search_tags;regex_pattern;replaced_by;original_skill
BI Tools;BI?IP;\b(BI\s?[\/\-]*\s?IP)\b;IntegratedPlanner;BI Integrated Planner
BI Tools;BI?BW;\b(BI\s?[\/\-]\s?BW|BW|BI|[Bb]usiness\s[Ii]ntelligence|[Bb]usiness\s[Ww]arehouse)\b;BIBW;BI/BW
BI Tools;BO - Data Services (BODS);\b(B0\s?[\/\-]*\s?DS)\b;DataServices;BO - Data Services (BODS)
BI Tools;BO - Design Studio;\b(Design\s?[\/\-]*\s?Studio)\b;DesignStudio;BO - Design Studio
BI Tools;BO / Business Objects;\b(BO|[Bb]usiness\s[Oo]bjects)\b;BusinessObjects;BO/Business Objects
BI Tools;Cloud Analytics;\b([Cc]loud\s[Aa]nalytics|[Aa]nalytics\s[Cc]loud)\b;CloudAnalytics;Analytics Cloud
BI Tools;BPC (Outlooksoft);\bBPC\b;BPC;BPC (Outlooksoft)
BI Tools;Lumira 2.X;\b[Ll]umira\b;Lumira 2X;Lumira 2.X
Hybris;Hybris Developer;\b(([Hh]ybris[\/\-\s]?|C4C\s?)[Dd]eveloper)\b;HybrisDeveloper;Hybris / C/4 HANA Developer
Hybris;Hybris C4C;\b([Hh]ybris\sC4C|C4C|([Hh]ybris\s?([\/\-]\s?)?)?C\s?[\/\-]?\s?4[\/\-]?\s?(HANA|[Hh]ana))\b;HybrisC4CHANA;Hybris / C/4 HANA
Hybris;Hybris Commerce;\b([Hh]ybris[\/\-\s]?[Cc]ommerce)\b;HybrisCommerce;Hybris Commerce / Commerce Cloud
Hybris;Hybris Marketing;\b([Hh]ybris[\/\-\s]?[Mm]arketing)\b;HybrisMarketing;Hybris Marketing / Marketing Cloud
Hybris;Hybris Sales;\b([Hh]ybris[\/\-\s]?[Ss]ales)\b;HybrisSales;Hybris Sales / Sales Cloud
Financial;CO;\bCO\b;CO;CO
Financial;Concur;\b([Cc]oncur)\b;Concur;Concur
Financial;CO-PC;\b(CO[\/\-\s]?PC)\b;COPC;CO-PC
Financial;FI;\b(FI|[Ff]inance)\b;FI;FI
Financial;FI/CO;\b(FI[\/\-\s]?CO)\b;FICO;FI/CO
Financial;CI - Convergent Invoicing;\bCI\b;CI;CI - Convergent Invoicing
Financial;FM - Funds Mangement;\bFM\b;FM;FM Funds Mangement
Financial;FSCM - Financial Supply Chain Management;\bF[\/\-\&]SCM\b;FSCM;FSCM - Financial Supply Chain Management
Financial;JVA (Joint Venture Accounting);\b(JVA|[Jj]oint\s[Vv]enture\s[Aa]ccounting)\b;JVA;JVA (Joint Venture Accounting)
Financial;VIM;\bVIM\b;VIM;VIM
Financial;Treasury (TR);\b(TR|[Tt]reasury)\b;Treasury;Treasury (TR)
HCM;SuccessFactors;\bSuccess\s?[\/\-\s]?Factors?\b;SuccessFactor;SuccessFactors
HCM;HCM;\b([Hh]uman[\/\-\s]?[Cc]apital[\/\-\s]?[Mm]anagement|HCM|HR)\b;HCM;HCM
HCM;HCM ABAP;\b(HCM[\/\-\s]?([Pp]rogramming|ABAP)|ABAP[\/\-\s]?HR)\b;HCMABAP;HCM ABAP
HCM;HCM Payroll;\b(HCM[\/\-\s]?(Payroll|PY|Løn)|Nettol(on|øn))\b;HCMPayroll;HCM Payroll
HCM;HCM Talent Management;\b(PA[\/\-\s]?TM|[Tt]alent\s[Mm]anagement)\b;HCMTalent;HCM Talent Management
HCM;HCM Time & Attendance Management;\b((HR|HCM)[\/\-\s]?TM|[Tt]ime\s[Mm]anagement)\b;HCMTime;HCM Time & Attendance Management
Supply Chain;CO/PS;\b(CO[\/\-\s]?PS)\b;COPS;CO/PS
Supply Chain;CS / SM;\b(CS[\/\-\s]?(S|P)M)\b;CSSM;CS / SM
Supply Chain;eWM (extended Warehouse Management);\b(e[\/\-]?WM)\b;eWM;eWM (extended Warehouse Management)
Supply Chain;LES;\b(LES|LE)\b;LES;LES
Supply Chain;MM;\b([Mm]aterials\s[Mm]anagement|MM)\b;MM;MM
Supply Chain;PM - Plant Maintenance;\b([Pp]lant\s[Mm]anagement|PM)\b;PlantMaintenance;PM - Plant Maintenance
Supply Chain;PP;\b([Pp]roduction\s[Pp]lanning|PP)\b;PP;PP
Supply Chain;PPM - Project & Portfolio Management;\b(PPM|([Pp]roject\s(\&|and)\s[Pp]ortfolio\s[Mm]anagement))\b;PPM;PPM - Project & Portfolio Management
Supply Chain;PP-PI;\b(PP[\/\-\s]?PI)\b;PPPI;PP-PI
Supply Chain;PS;\b([Pp]roject\s[Ss]ystem|PS)\b;PS;PS
Supply Chain;QM;\b([Qq]uality\s[Mm]anagement|QM)\b;QM;QM
Supply Chain;SCM;\b([Ss]upply\s[Cc]hain\s[Mm]anagement|SCM)\b;SCM;SCM
Supply Chain;SD;\b(SD|([Ss]ales\s(\&|and)\s[Dd]istributions?))\b;SD;SD
Supply Chain;TM - Transportation Management;\b([Tt]ransportation\s[Mm]anagement|TM)\b;TM;TM - Transportation Management
Supply Chain;WM;\b([Ww]arehouse\s[Mm]anagement|WM)\b;WM;WM
Supply Chain;IBP - Integrated Business Planning;\bI\s?[\/\-]*B\s?[\/\-]*P\b;IBP;IBP - Integrated Business Planning
Supply Chain;Ariba;\b([Aa]riba)\b;Ariba;Ariba
Supply Chain;APO;\bAPO\b;APO;APO
Supply Chain;CRM;\bCRM\b;CRM;CRM
Supply Chain;Master Data Governance (MDG);\b(MDG|[Mm]aster\s[Dd]ata\s[Gg]overnance)\b;MDG;Master Data Governance (MDG)
Supply Chain;Master Data Management (MDM);\b(MDM|[Mm]aster\s[Dd]ata\s[Mm]anagement)\b;MDM;MDM
Supply Chain;MII - Manufacturing Intelligence;\b(MII|[Mm]anufacturing\s[Ii]ntelligence)\b;MII;MII - Manufacturing Intelligence
Supply Chain;DMS;\bDMS\b;DMS;DMS
Supply Chain;EAM;\bEAM\b;EAM;EAM
Supply Chain;EH&S - Health and Safety;\b(EH[\/\-\&]S|HS[\/\-\&]E)\b;EHSafety;EH&S - Health and Safety
Supply Chain;GTS - Global Trade Services;\b(GTS|[Gg]lobal\s[Tt]rade\s[Ss]ervices?)\b;GTS;GTS - Global Trade Services
Supply Chain;PLM;\bPLM\b;PLM;PLM
Supply Chain;SRM;\bSRM\b;SRM;SRM
Supply Chain;VC - Variant Configuration;\bVC\b;VC;VC - Variant Configuration
SAP;OER - Object Event Repository;\b(OER|[Oo]bject\s[Ee]vent\s[Rr]epository)\b;OER;OER - Object Event Repository
SAP;Archiving - ILM (Information Lifecycle Management);\b(ILM|[Aa]rchiving|[Ii]nformation\s[Ll]ifecycle\s[Mm]anagement)\b;ILM;ILM (Information Lifecycle Management)
SAP;Authorizations;\b([Aa]uthori(z|s)ations?)\b;Authorizations;Authorizations
SAP;Business One;\b([Bb]usiness\s[Oo]ne)\b;BusinessOne;Business One
SAP;EDI;\bEDI\b;EDI;EDI
SAP;GRC;\bGRC\b;GRC;GRC
SAP;HANA;\b(((4|S4)([\/\-\&\s])?)?HANA)\b;SHANA;HANA
SAP;LSMW;\bLSMW\b;LSMW;LSMW
SAP;Java;\b[Jj]ava\b;Java;Java
Netweaver;ABAP;\bABAP\b;ABAP;ABAP
Netweaver;BRF+ / DSM;(\bBRF\+|DSM|BRF\s?[Pp]lus\b);BRFplus;BRF+ / DSM
Netweaver;CPI - Cloud Platform Integration;\b(CPI|[Cc]loud\s[Pp]latform\s[Ii]ntegration)\b;CPI;CPI - Cloud Platform Integration
Netweaver;Enterprise Portal;\b([Ee]nterprise\s)?[Pp]ortal\b;EnterprisePortal;Enterprise Portal
Netweaver;Mobile;\bSAP[\/\-\&][Mm]obile\b;Mobile;Mobile
Netweaver;PI/XI;\b(PI[\/\-\&]XI|XI[\/\-\&]PI)\b;PIXI;PI/XI
Netweaver;PO - Process Orchestration;\b(PO|[Pp]rocess\s[Oo]rchestration)\b;ProcessOrchestration;PO - Process Orchestration
Netweaver;PO BPM - Business Process Management;\b(BPM|PO[\/\-\&]BPM|[Bb]usiness\s[Pp]rocess\s[Mm]anagement)\b;BPM;PO BPM - Business Process Management
Netweaver;Data Migration;\b([Dd]ata\s[Mm]igration)\b;DataMigration;Data Migration
Netweaver;Gateway;\b[Gg]ateway\b;Gateway;Gateway
Netweaver;Basis;\b(Basis|BASIS)\b;BASIS;Basis
Netweaver;UI5;\bUI[\/\-\&]5\b;UI5;UI5
Netweaver;WebDynpro;\bWebDynpro\b;WebDynpro;WebDynpro
Netweaver;Workflow;\bWorkflow\b;Workflow;Workflow
Netweaver;HCI - HANA Cloud Integration;\b(HCI|HANA\s[Cc]loud\s[Ii]ntegrat(ion|or))\b;HCI;HCI - HANA Cloud Integration
Netweaver;Fiori;\b[Ff]iori\b;Fiori;Fiori
